seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:122:BPA73120-0622:1:1104:12740:2230,008764,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14600:2130,006951,64,0.4796747967479674,123,PCR1
FS10000169:122:BPA73120-0622:1:1104:15220:2290,010341,68,0.5466666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:7570:2440,008451,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:3200:2510,000748,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:12270:2590,002707,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:5250:3020,001188,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14510:3020,006583,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:3060:3030,011637,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:5820:3100,000800,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:7530:3140,000582,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14190:3350,002572,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:16190:3350,009632,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:6390:3470,011277,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:10210:3820,009937,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:1320:3830,005087,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:4410:3830,000263,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:12460:3760,003475,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:13810:3870,004825,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:13680:3780,008213,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14050:3780,000312,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:2080:3790,004372,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:6110:3790,007250,87,0.42000000000000004,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:10770:3990,001243,90,0.4,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:12060:4010,001567,55,0.4907407407407407,108,PCR1
FS10000169:122:BPA73120-0622:1:1104:5400:4070,006151,56,0.5087719298245614,114,PCR1
FS10000169:122:BPA73120-0622:1:1105:16350:1060,009354,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:7470:1070,002094,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:5270:1050,003169,50,0.537037037037037,108,PCR1
FS10000169:122:BPA73120-0622:1:1105:5540:1210,003522,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:12510:1210,003600,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:12620:1120,006249,55,0.5299145299145299,117,PCR1
FS10000169:122:BPA73120-0622:1:1105:9990:1370,004934,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:10750:1250,005799,82,0.45333333333333337,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:2480:1420,006891,70,0.5333333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1105:3510:1390,004934,78,0.48,150,PCR1
