Text,X,Temperature,X,Acquisitions
5:43,343.74,70.02,,
5:44,344.15,70.07,,
5:44,344.56,70.1,,
5:44,344.98,70.16,,
5:45,345.39,70.22,,
5:45,345.8,70.27,,
5:46,346.21,70.31,,
5:46,346.63,70.37,,
5:47,347.04,70.4,,
5:47,347.45,70.46,,
5:47,347.87,70.49,,
5:48,348.28,70.54,,
5:48,348.69,70.6,,
5:49,349.1,70.64,,
5:49,349.52,70.67,,
5:49,349.93,70.71,,
5:50,350.34,70.77,,
5:50,350.75,70.8,,
5:51,351.17,70.86,,
5:51,351.58,70.89,,
5:51,351.99,70.92,,
5:52,352.4,70.95,,
5:52,352.82,71.01,,
5:53,353.23,71.04,,
5:53,353.64,71.07,,
5:54,354.06,71.1,,
5:54,354.47,71.15,,
5:54,354.88,71.18,,
5:55,355.29,71.22,,
5:55,355.71,71.28,,
5:56,356.12,71.31,,
5:56,356.53,71.33,,
5:56,356.94,71.38,,
5:57,357.36,71.41,,
5:57,357.77,71.47,,
5:58,358.18,71.47,,
5:58,358.59,71.53,,
5:59,359,71.56,,
5:59,359.42,71.59,,
5:59,359.83,71.65,,
6:00,360.24,71.68,,
6:00,360.65,71.71,,
6:01,361.07,71.73,,
6:01,361.48,71.76,,
6:01,361.89,71.82,,
6:02,362.3,71.86,,
6:02,362.72,71.89,,
6:03,363.13,71.91,,
6:03,363.54,71.94,,
6:03,363.95,71.97,,
6:04,364.37,72.03,,
6:04,364.78,72.05,,
6:05,365.19,72.08,,
6:05,365.6,72.1,,
6:06,366.02,72.14,,
6:06,366.43,72.2,,
6:06,366.84,72.23,,
6:07,367.25,72.26,,
6:07,367.67,72.29,,
6:08,368.08,72.31,,
6:08,368.49,72.37,,
6:08,368.9,72.4,,
6:09,369.32,72.44,,
6:09,369.73,72.47,,
6:10,370.14,72.49,,
6:10,370.56,72.52,,
6:10,370.97,72.58,,
6:11,371.38,72.61,,
6:11,371.79,72.64,,
6:12,372.21,72.67,,
6:12,372.62,72.7,,
6:13,373.03,72.73,,
6:13,373.44,72.75,,
6:13,373.86,72.81,,
6:14,374.27,72.84,,
6:14,374.68,72.87,,
6:15,375.09,72.89,,
6:15,375.51,72.95,,
6:15,375.92,72.98,,
6:16,376.33,73.01,,
6:16,376.75,73.02,,
6:17,377.16,73.08,,
6:17,377.57,73.1,,
6:17,377.98,73.13,,
6:18,378.39,73.19,,
6:18,378.81,73.22,,
6:19,379.22,73.25,,
6:19,379.63,73.28,,
6:20,380.05,73.3,,
6:20,380.46,73.34,,
6:20,380.87,73.37,,
6:21,381.28,73.4,,
6:21,381.7,73.44,,
6:22,382.11,73.47,,
6:22,382.52,73.5,,
6:22,382.93,73.56,,
6:23,383.35,73.59,,
6:23,383.76,73.63,,
6:24,384.17,73.65,,
6:24,384.58,73.68,,
6:25,385,73.71,,
6:25,385.41,73.77,,
6:25,385.82,73.77,,
6:26,386.23,73.8,,
6:26,386.64,73.85,,
6:27,387.06,73.88,,
6:27,387.47,73.91,,
6:27,387.88,73.92,,
6:28,388.29,73.98,,
6:28,388.71,74.01,,
6:29,389.12,74.04,,
6:29,389.53,74.06,,
6:29,389.95,74.11,,
6:30,390.36,74.14,,
6:30,390.77,74.17,,
6:31,391.18,74.2,,
6:31,391.6,74.23,,
6:32,392.01,74.29,,
6:32,392.42,74.32,,
6:32,392.84,74.35,,
6:33,393.25,74.38,,
6:33,393.66,74.41,,
6:34,394.07,74.43,,
6:34,394.49,74.49,,
6:34,394.9,74.53,,
6:35,395.31,74.56,,
6:35,395.72,74.59,,
6:36,396.13,74.59,,
6:36,396.55,74.64,,
6:36,396.96,74.67,,
6:37,397.37,74.73,,
6:37,397.78,74.73,,
6:38,398.2,74.78,,
6:38,398.61,74.8,,
6:39,399.02,74.84,,
6:39,399.43,74.87,,
6:39,399.85,74.93,,
6:40,400.26,74.93,,
