seq_id,PCR1,PCR2
001720,127,1
001721,173,1329
001722,488,559
001723,511,512
001724,469,1200
001725,303,66
001726,484,260
001727,319,322
001728,720,424
001729,1138,784
001730,639,270
001731,198,298
001732,271,6
001733,390,264
001734,278,4
001735,937,171
001736,380,231
001737,252,1244
001738,574,712
001739,343,682
001740,320,137
001741,394,352
001742,561,364
001743,1370,2246
001744,734,103
001745,695,3
001746,602,121
001747,1082,870
001748,531,476
001749,231,601
001750,559,5
001751,539,726
001752,551,118
001753,621,22
001754,602,146
001755,296,0
001756,732,553
001757,796,405
001758,196,649
001759,259,241
001760,306,78
001761,444,458
001762,335,18
001763,187,929
001764,345,455
001765,273,1074
001766,370,228
001767,181,33
001768,367,50
001769,529,94
001770,403,417
001771,343,425
001772,150,0
001773,523,272
001774,770,506
001775,174,89
001776,1459,829
001777,292,123
001778,293,0
001779,639,973
001780,206,1
001781,355,88
001782,709,190
001783,288,234
001784,152,0
001785,737,805
001786,676,694
001787,262,220
001788,574,238
001789,486,114
001790,482,249
001791,1046,268
001792,1548,1358
001793,716,491
001794,1326,619
001795,943,452
001796,856,2422
001797,190,2
001798,775,765
001799,142,0
001800,357,197
001801,225,661
001802,571,1234
001803,280,97
001804,240,621
001805,651,305
001806,223,85
001807,302,441
001808,167,903
001809,242,2
001810,487,718
001811,321,36
001812,470,445
001813,589,402
001814,388,155
001815,641,441
001816,269,1218
001817,491,1637
001818,412,153
001819,363,1178
001820,419,364
001821,301,375
001822,463,1
001823,460,26
001824,439,445
001825,318,357
001826,512,155
001827,737,61
001828,146,0
001829,589,751
001830,340,73
001831,407,167
001832,332,82
001833,265,311
001834,254,0
001835,284,246
001836,352,24
001837,263,123
001838,494,1284
001839,166,93
001840,558,282
001841,542,11
001842,80,78
001843,358,667
001844,530,16
001845,229,1005
001846,561,1269
001847,2047,1824
001848,1144,182
001849,302,0
001850,345,440
001851,757,371
001852,383,410
001853,557,96
001854,1220,820
001855,926,1603
001856,628,48
001857,500,479
001858,356,0
001859,593,315
001860,554,426
001861,329,446
001862,542,19
001863,179,1467
001864,189,0
001865,544,1302
001866,355,86
001867,477,781
001868,286,312
001869,348,1360
001870,365,4
001871,728,1107
001872,316,230
001873,365,233
001874,287,316
001875,330,307
001876,278,350
001877,843,14
001878,646,347
001879,1161,1561
001880,1188,1332
001881,460,213
001882,172,97
001883,493,542
001884,357,143
001885,239,76
001886,612,911
001887,261,742
001888,192,31
001889,359,10
001890,144,0
001891,156,2
001892,257,1
001893,201,8
001894,485,1068
001895,207,79
001896,479,862
001897,342,544
001898,109,3
001899,735,47
001900,285,43
001901,504,505
001902,776,161
001903,890,510
001904,452,791
001905,316,227
001906,591,5
001907,636,289
001908,586,40
001909,241,0
001910,820,573
001911,332,70
001912,275,266
001913,810,485
001914,601,108
001915,655,0
001916,331,91
001917,425,0
001918,276,103
001919,309,312
001920,457,222
001921,451,826
001922,374,293
001923,200,44
001924,470,286
001925,165,1649
001926,413,519
001927,217,452
001928,143,0
001929,508,135
001930,447,593
001931,307,355
001932,238,660
001933,681,735
001934,370,386
001935,262,10
001936,384,219
001937,240,56
001938,242,0
001939,211,192
001940,396,0
001941,374,80
001942,1107,2226
001943,412,375
001944,365,26
001945,510,276
001946,766,1234
001947,407,1599
001948,531,335
001949,273,423
001950,411,687
001951,683,1545
001952,83,41
