seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
1250,1.0035701,0,1.0000455,0.48877624909485884,1
1254,1.0022275,0,0.99970293,0.5658540510097353,1
1255,0.9986464,0,0.9991407,0.6923458578056696,1
1258,1.0034542,0,0.99955946,0.5981307157990721,1
1261,1.0002129,0,1.0007154,0.3380802960817443,1
1280,1.0033885,0,0.999313,0.6535789953603133,1
1283,0.997858,0,0.9998882,0.5241773272186017,1
1286,0.9937786,0,1.0002123,0.4512564700834071,1
1287,0.9961252,0,0.9995007,0.6113524820983185,1
1295,1.0006654,0,0.9988723,0.7527288331053719,1
1296,1.0018855,0,0.9996307,0.5821063641483627,1
1301,1.0088204,0,0.9997911,0.5460214015608658,1
